Temp(C);Modulus ,1;Modulus 1,;Modulus 10,;Loss Modulus,1;Loss Modulus1,;Loss Modulus10,;Tan Delta,1;Tan Delta1,;Tan Delta10,
-101;5,96E+09;6,25E+09;6,19E+09;3,40E+08;-5,54E+07;-4,72E+08;5,71E-02;-8,87E-03;-7,62E-02
-100,7;6,07E+09;6,19E+09;6,41E+09;4,69E+07;-1,53E+07;-5,53E+08;7,74E-03;-2,48E-03;-8,63E-02
-100,3;6,04E+09;6,37E+09;5,96E+09;6,76E+07;-1,58E+08;-3,43E+08;1,12E-02;-2,49E-02;-5,76E-02
-100,3;6,18E+09;6,32E+09;6,09E+09;-2,67E+07;-1,24E+07;-2,85E+08;-4,32E-03;-1,97E-03;-4,68E-02
-100,2;5,96E+09;6,27E+09;6,13E+09;1,74E+08;-2,52E+08;-4,62E+08;2,92E-02;-4,02E-02;-7,54E-02
-100,2;5,82E+09;5,96E+09;6,26E+09;2,87E+08;-4,56E+07;-4,64E+08;4,92E-02;-7,65E-03;-7,40E-02
-100,2;5,97E+09;6,16E+09;6,06E+09;2,42E+07;2,95E+08;-3,13E+08;4,05E-03;4,79E-02;-5,17E-02
-100,1;5,96E+09;6,22E+09;5,95E+09;4,39E+06;-5,25E+07;-5,47E+08;7,37E-04;-8,43E-03;-9,19E-02
-100,1;6,07E+09;6,03E+09;6,12E+09;3,48E+08;2,41E+08;-4,27E+08;5,74E-02;3,99E-02;-6,98E-02
-100;6,01E+09;6,04E+09;6,19E+09;2,27E+08;1,41E+07;-3,99E+08;3,77E-02;2,34E-03;-6,45E-02
-100,5;6,00E+09;6,05E+09;6,05E+09;-2,52E+06;-6,33E+07;-3,73E+08;-4,20E-04;-1,05E-02;-6,17E-02
-93,6;5,78E+09;5,62E+09;5,84E+09;2,04E+08;1,01E+08;-3,69E+08;3,53E-02;1,79E-02;-6,31E-02
-91,2;5,56E+09;5,78E+09;5,69E+09;1,63E+08;8,60E+07;-3,01E+08;2,94E-02;1,49E-02;-5,28E-02
