Temp(C);Modulus 10;Modulus 0,1;Modulus 1;Loss Modulus10;Loss Modulus 0,1;Loss Modulus 1;Tan Delta10,;Tan Delta,1;Tan Delta1,
-101,7;5,400E+09;5,412E+09;5,580E+09;1,819E+08;-1,321E+07;-2,451E+08;3,369E-02;-2,440E-03;-4,392E-02
-101,1;5,587E+09;5,570E+09;5,531E+09;1,341E+08;-5,975E+07;-2,609E+08;2,400E-02;-1,073E-02;-4,716E-02
-100,7;5,540E+09;5,653E+09;5,662E+09;1,238E+08;1,245E+08;-2,996E+08;2,235E-02;2,202E-02;-5,292E-02
-100,4;5,431E+09;5,763E+09;5,621E+09;1,404E+08;-1,282E+07;-3,149E+08;2,584E-02;-2,225E-03;-5,602E-02
-100,0;5,569E+09;5,760E+09;5,647E+09;6,825E+07;5,160E+07;-3,380E+08;1,225E-02;8,958E-03;-5,984E-02
-100,0;5,458E+09;5,724E+09;5,352E+09;-2,280E+07;-1,033E+08;-2,691E+08;-4,178E-03;-1,805E-02;-5,028E-02
-100,2;5,505E+09;5,384E+09;5,532E+09;2,386E+07;-2,299E+08;-1,990E+08;4,335E-03;-4,270E-02;-3,597E-02
-100,0;5,386E+09;5,437E+09;5,513E+09;1,787E+08;1,445E+05;-3,329E+08;3,318E-02;2,659E-05;-6,040E-02
-100,2;5,313E+09;5,223E+09;5,641E+09;2,269E+08;4,279E+07;-3,028E+08;4,271E-02;8,194E-03;-5,369E-02
-99,2;5,209E+09;5,323E+09;5,622E+09;1,130E+08;4,677E+07;3,622E+07;2,170E-02;8,787E-03;6,443E-03
-95,3;5,530E+09;5,301E+09;5,529E+09;-2,439E+08;2,806E+08;3,853E+07;-4,411E-02;5,292E-02;6,967E-03
-91,3;5,303E+09;5,118E+09;5,234E+09;-3,025E+08;1,861E+08;2,751E+07;-5,704E-02;3,637E-02;5,256E-03
-86,9;5,327E+09;5,002E+09;5,053E+09;-3,052E+08;2,695E+08;1,606E+08;-5,729E-02;5,388E-02;3,179E-02
